dataset,k,f1,precision,recall,roc_auc,avg_precision,rho_hat,runtime_sec
mnist,4,0.29704797047970477,0.1771177117711771,0.92,0.8210544069866104,0.3234392249381733,0.4,70.38751935958862
mnist,5,0.3134715025906736,0.19145569620253164,0.8642857142857143,0.8210544069866104,0.3234392249381733,0.4,47.20884847640991
mnist,6,0.32416444838805086,0.20440134278254382,0.7828571428571428,0.8210544069866104,0.3234392249381733,0.4,71.12926506996155
mnist,7,0.323448275862069,0.2131818181818182,0.67,0.8210544069866104,0.3234392249381733,0.4,49.98532438278198
mnist,8,0.33502109704641353,0.2377245508982036,0.5671428571428572,0.8210544069866104,0.3234392249381733,0.4,46.55836725234985
vowels,4,0.11689961880559085,0.06241519674355495,0.92,0.8192603129445234,0.18135587153148902,0.4,8.940735101699829
vowels,5,0.12268188302425106,0.06605222734254992,0.86,0.8192603129445234,0.18135587153148902,0.4,13.377339124679565
vowels,6,0.13930348258706468,0.0759493670886076,0.84,0.8192603129445234,0.18135587153148902,0.4,13.707022905349731
vowels,7,0.14015151515151514,0.07740585774058577,0.74,0.8192603129445234,0.18135587153148902,0.4,13.882081270217896
vowels,8,0.15676959619952494,0.0889487870619946,0.66,0.8192603129445234,0.18135587153148902,0.4,9.191105604171753
wine,4,0.3076923076923077,0.19047619047619047,0.8,0.8747899159663866,0.26344943575574853,0.2594847011975567,1.5079007148742676
wine,5,0.35555555555555557,0.22857142857142856,0.8,0.8747899159663866,0.26344943575574853,0.2594847011975567,1.708742618560791
wine,6,0.3333333333333333,0.21875,0.7,0.8747899159663866,0.26344943575574853,0.2594847011975567,2.11964750289917
wine,7,0.3783783783783784,0.25925925925925924,0.7,0.8747899159663866,0.26344943575574853,0.2594847011975567,1.9097044467926025
wine,8,0.4,0.28,0.7,0.8747899159663866,0.26344943575574853,0.2594847011975567,1.898259162902832
