dataset,n_detectors,detectors,f1,precision,recall,roc_auc,runtime_sec
musk,2,IsolationForest+LOF,0.2664835164835165,0.1537242472266244,1.0,0.9998678743415448,0.6038112640380859
musk,3,IsolationForest+LOF+HBOS,0.303125,0.17863720073664824,1.0,0.9999791380539281,0.6598913669586182
musk,4,IsolationForest+LOF+HBOS+COPOD,0.16796536796536796,0.09168241965973535,1.0,0.9994506354201075,0.6709508895874023
musk,5,IsolationForest+LOF+HBOS+COPOD+VAE,0.15038759689922482,0.08130762782900251,1.0,0.9992941708245684,14.382073163986206
musk,6,IsolationForest+LOF+HBOS+COPOD+VAE+KNN,0.14641509433962263,0.07899022801302931,1.0,0.9990785973818258,13.881765365600586
musk,7,IsolationForest+LOF+HBOS+COPOD+VAE+KNN+MCD,0.15862632869991825,0.08614564831261101,1.0,0.9994923593122511,36.68584227561951
musk,8,IsolationForest+LOF+HBOS+COPOD+VAE+KNN+MCD+INNE,0.14696969696969697,0.07931316434995912,1.0,0.9996453469167782,40.5387327671051
musk,9,IsolationForest+LOF+HBOS+COPOD+VAE+KNN+MCD+INNE+PCA,0.17572463768115942,0.09632571996027806,1.0,0.9999408911527964,42.43209218978882
musk,10,IsolationForest+LOF+HBOS+COPOD+VAE+KNN+MCD+INNE+PCA+DeepSVDD,0.1488871834228703,0.08043117744610281,1.0,0.9998817823055927,43.38333868980408
musk,11,IsolationForest+LOF+HBOS+COPOD+VAE+KNN+MCD+INNE+PCA+DeepSVDD+LUNAR,0.14520958083832336,0.07828894269572235,1.0,0.9999061212426765,42.35439682006836
optdigits,2,IsolationForest+LOF,0.08249899879855827,0.04388581167447806,0.6866666666666666,0.6651559415712593,0.9856307506561279
optdigits,3,IsolationForest+LOF+HBOS,0.13333333333333333,0.07407407407407407,0.6666666666666666,0.7761179102513489,1.4463832378387451
optdigits,4,IsolationForest+LOF+HBOS+COPOD,0.12009237875288684,0.06573957016434892,0.6933333333333334,0.7535596789051192,1.175748586654663
optdigits,5,IsolationForest+LOF+HBOS+COPOD+VAE,0.1067378252168112,0.05930318754633061,0.5333333333333333,0.7432043689959206,42.599562644958496
optdigits,6,IsolationForest+LOF+HBOS+COPOD+VAE+KNN,0.0887040887040887,0.04949729311678268,0.4266666666666667,0.6983116199499935,25.72788381576538
optdigits,7,IsolationForest+LOF+HBOS+COPOD+VAE+KNN+MCD,0.053199137311286844,0.029814665592264304,0.24666666666666667,0.6901894986182393,43.393670320510864
optdigits,8,IsolationForest+LOF+HBOS+COPOD+VAE+KNN+MCD+INNE,0.060778727445394115,0.032719836400818,0.4266666666666667,0.6378707724700619,43.265541553497314
optdigits,9,IsolationForest+LOF+HBOS+COPOD+VAE+KNN+MCD+INNE+PCA,0.060778727445394115,0.032719836400818,0.4266666666666667,0.6378707724700619,38.68779921531677
optdigits,10,IsolationForest+LOF+HBOS+COPOD+VAE+KNN+MCD+INNE+PCA+DeepSVDD,0.05493975903614458,0.02961038961038961,0.38,0.6387827345703382,44.35061168670654
optdigits,11,IsolationForest+LOF+HBOS+COPOD+VAE+KNN+MCD+INNE+PCA+DeepSVDD+LUNAR,0.05536992840095466,0.02982005141388175,0.38666666666666666,0.6285379655217792,32.335277795791626
pendigits,2,IsolationForest+LOF,0.07548995886765061,0.039225546894644206,1.0,0.9190096468916845,0.9437398910522461
pendigits,3,IsolationForest+LOF+HBOS,0.12680115273775217,0.06775186977562693,0.9871794871794872,0.9405652559137814,0.9741802215576172
pendigits,4,IsolationForest+LOF+HBOS+COPOD,0.12192262602579132,0.06491885143570537,1.0,0.9330789853578056,1.0022408962249756
pendigits,5,IsolationForest+LOF+HBOS+COPOD+VAE,0.11912943871706758,0.06333739342265529,1.0,0.9318654858199095,32.405860900878906
pendigits,6,IsolationForest+LOF+HBOS+COPOD+VAE+KNN,0.11818181818181818,0.06280193236714976,1.0,0.9284961389519031,32.32974362373352
pendigits,7,IsolationForest+LOF+HBOS+COPOD+VAE+KNN+MCD,0.13010842368640535,0.0695807314897413,1.0,0.9176758476356331,34.26913142204285
pendigits,8,IsolationForest+LOF+HBOS+COPOD+VAE+KNN+MCD+INNE,0.12197028928850664,0.0649458784346378,1.0,0.9138921350717598,36.03002142906189
pendigits,9,IsolationForest+LOF+HBOS+COPOD+VAE+KNN+MCD+INNE+PCA,0.12293144208037825,0.0654911838790932,1.0,0.920266110614636,35.17531967163086
pendigits,10,IsolationForest+LOF+HBOS+COPOD+VAE+KNN+MCD+INNE+PCA+DeepSVDD,0.13087248322147652,0.07001795332136446,1.0,0.9220954301383255,45.457552433013916
pendigits,11,IsolationForest+LOF+HBOS+COPOD+VAE+KNN+MCD+INNE+PCA+DeepSVDD+LUNAR,0.12967581047381546,0.06933333333333333,1.0,0.9198221473690643,39.17347526550293
pima,2,IsolationForest+LOF,0.45579567779960706,0.48132780082987553,0.43283582089552236,0.6765522388059702,0.5393526554107666
pima,3,IsolationForest+LOF+HBOS,0.5,0.5387931034482759,0.4664179104477612,0.6980149253731344,0.33801960945129395
pima,4,IsolationForest+LOF+HBOS+COPOD,0.5225563909774437,0.5265151515151515,0.5186567164179104,0.6897611940298508,0.3229379653930664
pima,5,IsolationForest+LOF+HBOS+COPOD+VAE,0.5086042065009561,0.5215686274509804,0.4962686567164179,0.6951268656716417,6.17817497253418
pima,6,IsolationForest+LOF+HBOS+COPOD+VAE+KNN,0.5176908752327747,0.516728624535316,0.5186567164179104,0.6997014925373135,5.6378984451293945
pima,7,IsolationForest+LOF+HBOS+COPOD+VAE+KNN+MCD,0.5029469548133595,0.5311203319502075,0.47761194029850745,0.6989179104477612,6.743207693099976
pima,8,IsolationForest+LOF+HBOS+COPOD+VAE+KNN+MCD+INNE,0.5305410122164049,0.49836065573770494,0.5671641791044776,0.6895149253731344,6.380605697631836
pima,9,IsolationForest+LOF+HBOS+COPOD+VAE+KNN+MCD+INNE+PCA,0.5239852398523985,0.5182481751824818,0.5298507462686567,0.686276119402985,6.9713616371154785
pima,10,IsolationForest+LOF+HBOS+COPOD+VAE+KNN+MCD+INNE+PCA+DeepSVDD,0.5094339622641509,0.5152671755725191,0.503731343283582,0.6824029850746269,7.06082820892334
