dataset,scheme,k,f1,precision,recall,roc_auc,avg_precision,rho_hat,runtime_sec
mnist,em,6,0.3250068624759813,0.20115528372409106,0.8457142857142858,0.8210544069866104,0.3234392249381733,0.4,75.88631534576416
mnist,equal,6,0.3134715025906736,0.19145569620253164,0.8642857142857143,0.7960454046894725,0.28625107653590676,0.4,47.89589548110962
mnist,agreement,6,0.3107810781078108,0.19243869209809264,0.8071428571428572,0.8093261728854949,0.29495529521934993,0.4,47.87683343887329
mnist,ncl,6,0.3113543091655267,0.1925549915397631,0.8128571428571428,0.8064495767885599,0.28977510630316977,0.4,70.93083906173706
vowels,em,6,0.12052117263843648,0.06560283687943262,0.74,0.8192603129445234,0.18135587153148902,0.4,13.866443157196045
vowels,equal,6,0.13930348258706468,0.0759493670886076,0.84,0.8502275960170697,0.2179723047227026,0.4,14.045024156570435
vowels,agreement,6,0.13725490196078433,0.07473309608540925,0.84,0.8372688477951635,0.19836634526162922,0.4,14.32880687713623
vowels,ncl,6,0.13793103448275862,0.07513416815742398,0.84,0.8403271692745377,0.20260765536220518,0.4,14.548786878585815
wine,em,6,0.3333333333333333,0.21875,0.7,0.8747899159663866,0.26344943575574853,0.2594847011975567,1.9101414680480957
wine,equal,6,0.3333333333333333,0.21875,0.7,0.8739495798319328,0.2625129069222997,0.2594847011975567,1.634697675704956
wine,agreement,6,0.37209302325581395,0.24242424242424243,0.8,0.873109243697479,0.2569379522003094,0.2594847011975567,1.858720302581787
wine,ncl,6,0.37209302325581395,0.24242424242424243,0.8,0.873109243697479,0.2569379522003094,0.2594847011975567,1.9910337924957275
